genes,3primcount,strand,ensembl_start,ensembl_end,refseq_term_left,refseq_term_right,ref_seq_overhang,,update_start,update_end,comments,,,
Rab6a,1205,+,100607410,100641268,0,100641268,0,,,100641830,"Pool lab modified, continuous",,,
Robo1,1202,+,72308306,73046095,0,73047491,1396,,,73047491,Refseq end,,,
Snx29,1201,+,11322908,11755472,0,11755931,459,,,11755931,Refseq end,,,
Wdr78,1198,-,103038065,103114555,103034755,0,3310,,103034755,,Refseq end,,,
3632454L22Rik,1195,-,135022734,135060336,135022410,0,324,,135022410,,Refseq end,,,
Hs3st1,1194,-,39613935,39755475,39613935,0,0,,39612960,,"Pool lab modified, continuous",,,
Edem3,1192,+,151755371,151822051,0,151822328,277,,,151822328,Refseq end,,,
Hotairm1,1179,+,52156902,52162119,0,52162020,-99,,,52162410,"Pool lab modified, continuous",,,
A530058N18Rik,1178,+,114013602,114032292,0,114032292,0,,,114032735,"Pool lab modified, continuous",,,
Rbm12b2,1173,+,12089439,12096243,0,12096271,28,,,12096271,Refseq end,,,
Atp6v0e2,1169,+,48537615,48541801,0,48541801,0,,,48545375,"Pool lab modified, splicing informed",,,
Elp4,1169,-,105701027,105904564,105697320,0,3707,,105697320,,Refseq end,,,
Dync1li2,1165,-,104417680,104443047,104417674,0,6,,104416500,,"Pool lab modified, continuous",,,
Zfp810,1163,-,22276748,22307648,22276737,0,11,,22276737,,Refseq end,,,
Prr14l,1161,-,32789820,32854256,32789207,0,613,,32789207,,Refseq end,,,
Brcc3,1157,+,75416628,75454001,0,75455702,1701,,,75455702,Refseq end,,,
Gpm6a,1154,+,54954843,55060871,0,55060878,7,,,55060878,Refseq end,,,
Fgf14,1152,-,123977907,124677127,123973845,0,4062,,123973845,,Refseq end,,,
Pigv,1140,-,133660387,133672647,133659914,0,473,,133659914,,Refseq end,,,
Hgsnat,1138,-,25944453,25976753,25944459,0,-6,,25942460,,"Pool lab modified, continuous and splicing",,,
E430024I08Rik,1132,-,74434781,74463429,74433049,0,1732,,74433049,,Refseq end,,,
Nkrf,1129,-,36887540,36902899,36886440,0,1100,,36886440,,Refseq end,,,
Gm41361,1128,+,80012331,80042457,0,80044990,2533,,,80044990,Refseq end,,,
Zfp398,1124,+,47835661,47873537,0,47873542,5,,,47874805,"Pool lab modified, continuous",,,
Spred3,1119,-,29158829,29170411,29157267,0,1562,,29157267,,Refseq end,,,
Rims1,1117,-,22286251,22805994,22288422,0,-2171,,22285900,,"Pool lab modified, continuous",,,
Hcfc1r1,1114,+,23673596,23675227,0,23675524,297,,,23675524,Refseq end,,,
Adnp,1112,-,168180986,168207112,168180965,0,21,,168180965,,Refseq end,,,
Vax1,1112,-,59166187,59170056,59164480,0,1707,,59164480,,Refseq end,,,
Ap4e1,1099,+,127008717,127067909,0,127069814,1905,,,127069814,Refseq end,,,
Rbmx,1097,-,57383530,57393036,57383348,0,182,,57383348,,Refseq end,,,
Zfp758,1095,+,22361453,22377281,0,22378734,1453,,,22378734,Refseq end,,,
Sec61g,1094,-,16500530,16508484,16501638,0,-1108,,16497495,,"Pool lab modified, continuous and splicing",,,
Acbd3,1093,+,180726043,180754204,0,180754204,0,,,180756090,"Pool lab modified, continuous",,,
Ebf4,1086,+,130295169,130370481,0,130370482,1,,,130370830,Pool lab modified,,,
Mfn1,1086,+,32529465,32579239,0,32579225,-14,,,32579885,"Pool lab modified, continuous",,,
Mzt1,1078,-,99034544,99046134,99034544,0,0,,99033545,,"Pool lab modified, continuous",,,
Zfp84,1069,+,29768552,29779821,0,29781419,1598,,,29781419,Refseq end,,,
Cfap46,1066,-,139600951,139683817,139600914,0,37,,139600914,,Refseq end,,,
BC005624,1057,-,30972177,30982201,30970693,0,1484,,30970693,,Refseq end,,,
Ep400,1057,-,110664373,110770717,110664373,0,0,,110663460,,"Pool lab modified, continuous",,,
Nckap1,1057,-,80500512,80581380,80500512,0,0,,80498230,,"Pool lab modified, continuous",,,
Memo1,1053,-,74199036,74295521,74199043,0,-7,,74195350,,"Pool lab modified, continuous",,,
Arl16,1052,-,120464866,120467607,120464326,0,540,,120464326,,Refseq end,,,
F2,1051,-,91625320,91636414,91613986,0,11334,,91613986,,Refseq end,,,
Cd300lg,1048,+,102041509,102055620,0,102055617,-3,,,102056193,"Pool lab modified, continuous",,,
Dlx6os1,1046,-,6820189,6871592,6820546,0,-357,,6819050,,"Pool lab modified, continuous",,,
Ybx1,1046,-,119277981,119294604,119277327,0,654,,119277327,,Refseq end,,,
Zfp966,1044,-,175918881,175931100,175918283,0,598,,175918283,,Refseq end,,,
Dtnb,1039,+,3572381,3781796,0,3783938,2142,,,3783938,Refseq end,,,
Fbxw2,1038,-,34804514,34826311,34804364,0,150,,34804364,,Refseq end,,,
Gjd3,1026,-,98982180,98983016,98982180,0,0,,98981340,,"Pool lab modified, continuous, nice example",,,
Vps33a,1019,-,123528659,123573038,123527304,0,1355,,123527304,,Refseq end,,,
Csf2ra,1017,-,61223957,61228429,61217191,0,6766,,61217191,,Refseq end,,,
4930447C04Rik,1014,-,72881109,72940774,72880193,0,916,,72880193,,Refseq end,,,
Hist1h4k,1012,-,21750194,21750505,21750145,0,49,,21749940,,Pool lab modified,,,
Exoc8,1009,-,124893108,124897705,124890299,0,2809,,124890299,,Refseq end,,,
L3mbtl1,1009,+,162943472,162974522,0,162977806,3284,,,162977806,Refseq end,,,
Vcpkmt,995,-,69577628,69583110,69576730,0,898,,69576730,,Refseq end,,,
Syap1,994,-,162857057,162888447,162856843,0,214,,162856843,,Refseq end,,,
Fcrlb,988,-,170907273,170912941,170906852,0,421,,170906852,,Refseq end,,,
Zfp281,981,+,136624901,136630053,0,136630391,338,,,136630391,Refseq end,,,
Znhit6,979,+,145576205,145604795,0,145605245,450,,,145605245,Refseq end,,,
Coro2b,978,-,62419492,62537044,62419490,0,2,,62419490,,Refseq end,,,
Ggps1,970,-,14050659,14063488,14049793,0,866,,14049793,,Refseq end,,,
Dclk3,964,+,111439081,111489118,0,111489611,493,,,111489611,Refseq end,,,
Slc35g2,964,-,100552188,100571090,100552188,0,0,,100551890,,Pool lab modified,,,
Tert,960,+,73626911,73649843,0,73652366,2523,,,73652366,Refseq end,,,
B3galnt1,959,-,69574158,69598960,69573919,0,239,,69573919,,Refseq end,,,
Cacnb2,958,+,14603088,14987908,0,14988811,903,,,14988811,Refseq end,,,
Chchd7,948,+,3938888,3951046,0,3951383,337,,,3951383,Refseq end,,,
Vgf,948,+,137026392,137033351,0,137033351,0,,,137033899,Pool lab modified,,,
Syt14,939,-,192891233,193035775,192885674,0,5559,,192885674,,Refseq end,,,
Wdr33,937,+,31804090,31907397,0,31908987,1590,,,31908987,Refseq end,,,
Cul2,925,+,3382988,3436377,0,3436700,323,,,3436700,Refseq end,,,
Jam2,913,+,84774123,84825928,0,84826380,452,,,84826380,Refseq end,,,
Slc25a27,907,-,43641891,43667214,43637739,0,4152,,43637739,,Refseq end,,,
Pnpla3,905,+,84167837,84187236,0,84189521,2285,,,84189521,Refseq end,,,
Zfp958,899,+,4613167,4630231,0,4632327,2096,,,4632327,Refseq end,,,
Smim10l2a,898,+,56374586,56377799,0,56378470,671,,,56378470,Refseq end,,,
Gm14089,895,+,118997068,119000684,0,119006680,5996,,,119006680,Refseq end,,,
Gm32856,879,+,129263641,129282844,0,129286569,3725,,,129286569,Refseq end,,,
Nipbl,879,-,8290617,8444463,8289824,0,793,,8289824,,Refseq end,,,
Zfp551,876,-,12415153,12422751,12412549,0,2604,,12412549,,Refseq end,,,
Pou3f2,874,-,22482780,22488366,22482095,0,685,,22482095,,Refseq end,,,
Prkx,870,-,77761411,77796278,77760972,0,439,,77760972,,Refseq end,,,
Zfp971,867,+,178023284,178034022,0,178035859,1837,,,178035859,Refseq end,,,
Aip,865,-,4114446,4125858,4113756,0,690,,4113756,,Refseq end,,,
Gm14403,865,+,177498215,177509763,0,177512311,2548,,,177512311,Refseq end,,,
Nup160,857,+,90677215,90736328,0,90739327,2999,,,90739327,Refseq end,,,
Myh15,854,+,49057486,49199104,0,49199563,459,,,49199563,Refseq end,,,
Elovl7,849,+,108214404,108285683,0,108287109,1426,,,108287109,Refseq end,,,
Slc16a14,842,-,84905898,84935134,84905488,0,410,,84905488,,Refseq end,,,
Mcts1,837,+,38600578,38613426,0,38613524,98,,,38613524,Refseq end,,,
Lcor,834,+,41482637,41586536,0,41596161,9625,,,41596161,Refseq end,,,
Trim24,829,+,37870811,37966296,0,37968445,2149,,,37968445,Refseq end,,,
Grsf1,827,-,88659448,88676171,88659233,0,215,,88659233,,Refseq end,,,
Atp7a,826,+,106027276,106124926,0,106128160,3234,,,106128160,Refseq end,,,
Srp54c,826,+,55230168,55263836,0,55278984,15148,,,55278984,"Refseq end, Pool lab verified",,,
Prr5,819,+,84669620,84703673,0,84706409,2736,,,84706409,Refseq end,,,
Papolg,814,-,23862646,23895253,23860145,0,2501,,23860145,,Refseq end,,,
Pde11a,812,-,75989141,76338774,75987026,0,2115,,75987026,,Refseq end,,,
Kcna4,807,+,107290639,107298502,0,107303587,5085,,,107303587,Refseq end,,,
Tbc1d19,806,+,53809606,53903965,0,53909221,5256,,,53909221,Refseq end,,,
Gm20544,799,-,75365332,75367088,75358638,0,6694,,75358638,,Refseq end,,,
Kbtbd3,798,+,4309833,4331732,0,4331829,97,,,4331829,Refseq end,,,
Adgrl3,797,+,81020138,81825133,0,81827825,2692,,,81827825,Refseq end,,,
Zfp786,796,-,47819266,47830867,47819263,0,3,,47818200,,Pool lab modified,,,
Hist1h3f,794,+,23544052,23545312,0,23544954,-358,,,23545600,Pool lab modified,,,
Paip1,778,+,119428601,119458218,0,119460323,2105,,,119460323,Refseq end,,,
Pwwp2a,773,+,43681998,43721491,0,43722633,1142,,,43722633,Refseq end,,,
Bri3bp,771,+,125441568,125460370,0,125460885,515,,,125460885,Refseq end,,,
Rbm15,764,-,107325421,107333673,107305511,0,19910,,107305511,,"Refseq end, Pool lab modified",,,
Ddx56,757,-,6258919,6267772,6257545,0,1374,,6257545,,Refseq end,,,
Grm5,756,+,87584168,88134907,0,88135063,156,,,88135063,"Refseq end, Pool lab verified",,,
Ift81,748,-,122550204,122614518,122540265,0,9939,,122540265,,Refseq end,,,
Gap43,747,-,42248442,42340651,42248552,0,-110,,42244950,,Splice informed,,,
Bcas1,745,-,170346991,170427845,170344714,0,2277,,170344714,,Refseq end,,,
Slc15a4,744,-,127595664,127632897,127595478,0,186,,127588585,,Pool lab modified,,,
Agk,742,+,40325172,40396762,0,40397562,800,,,40397562,Refseq end,,,
Ikbkg,731,+,74393290,74453854,0,74456792,2938,,,74456792,Refseq end,,,
Rbm12b1,731,+,12140264,12146731,0,12148922,2191,,,12148922,Refseq end,,,
Rif1,730,+,52072832,52122383,0,52126769,4386,,,52126769,Refseq end,,,
Ears2,724,-,122037213,122067263,122034162,0,3051,,122034162,,Refseq end,,,
Pcsk1,724,+,75089826,75134861,0,75134861,0,,,75136801,Pool lab modified,,,
Cdh12,720,+,20449265,21589533,0,21598421,8888,,,21598421,Refseq end,,,
Pawr,719,+,108332121,108414240,0,108414391,151,,,108414391,Refseq end,,,
Zfp91,713,-,12767020,12796126,12766939,0,81,,12766939,,Refseq end,,,
Fads6,712,-,115279622,115297663,115278626,0,996,,115278626,,Refseq end,,,
Trhde,711,-,114398823,114802307,114398821,0,2,,114398821,,Refseq end,,,
Kiss1r,710,+,79916971,79922273,0,79924088,1815,,,79924088,Refseq end,,,
Nsun6,703,-,14995131,15055069,14991522,0,3609,,14991522,,Refseq end,,,
Zfp182,703,-,21028939,21062316,21026184,0,2755,,21026184,,Refseq end,,,
Zfp558,698,-,18455575,18478268,18453558,0,2017,,18453558,,Refseq end,,,
Fer,696,+,63863062,64139496,0,64146519,7023,,,64146519,Refseq end,,,
Pde7b,695,-,20398004,20725078,20397052,0,952,,20397052,,Refseq end,,,
Rad51d,693,-,82876434,82890614,82871960,0,4474,,82871960,,Refseq end,,,
Zfp53,688,+,21488998,21510473,0,21513177,2704,,,21513177,Refseq end,,,
Zfp458,684,-,67254918,67278466,67225137,0,29781,,67225137,,"Refseq end, Pool lab verified",,,
Ripply2,682,+,87015537,87019917,0,87020441,524,,,87020441,Refseq end,,,
Frg1,678,-,41397459,41417074,41389181,0,8278,,41389181,,Refseq end,,,
Slc4a1ap,673,+,31526995,31556932,0,31558641,1709,,,31558641,Refseq end,,,
Arhgef2,672,+,88605966,88648052,0,88649532,1480,,,88649532,Refseq end,,,
Ppargc1b,672,-,61298136,61400431,61291445,0,6691,,61291445,,Refseq end,,,
Rnf125,671,+,20944625,20983862,0,20987359,3497,,,20987359,Refseq end,,,
Zfp948,671,+,21567008,21588699,0,21588699,0,,,21589245,Pool lab modified,,,
Igip,670,+,36298679,36301517,0,36301478,-39,,,36301725,Pool lab modified,,,
N4bp2,670,+,65763521,65830108,0,65830107,-1,,,65830850,Pool lab modified,,,
Tmsb15b2,669,-,136955265,136975497,136954988,0,277,,136954988,,Refseq end,,,
Cdk12,668,+,98203059,98278504,0,98281101,2597,,,98281101,Refseq end,,,
Brwd3,667,-,108737016,108834372,108737227,0,-211,,108728810,,Splice informed,,,
Usp51,667,+,153006469,153009416,0,153009913,497,,,153009913,Refseq end,,,
Zfp937,660,+,150218073,150240725,0,150244874,4149,,,150244874,Refseq end,,,
Gm27003,658,+,126675916,126683805,0,126684441,636,,,126684441,Refseq end,,,
Rpusd2,658,+,119034790,119039769,0,119042198,2429,,,119042198,Refseq end,,,
Gm36855,656,-,43506551,43521004,43505839,0,712,,43505839,,Refseq end,,,
Gm20387,655,-,110639753,110645916,110639320,0,433,,110639320,,Refseq end,,,
Kcnj12,655,+,61022564,61071131,0,61073269,2138,,,61073269,Refseq end,,,
Morn2,652,+,80290203,80297476,0,80298167,691,,,80298167,Refseq end,,,
Uty,652,-,1096861,1245759,1085187,0,11674,,1085187,,"Refseq end, Pool lab verified",,,
Bnip2,651,+,69989466,70008317,0,70011659,3342,,,70011659,Refseq end,,,
Cpd,651,-,76778424,76847018,76777208,0,1216,,76777208,,Refseq end,,,
Parg,651,+,32201949,32297550,0,32298657,1107,,,32298657,Refseq end,,,
Golt1b,649,+,142387221,142403858,0,142410084,6226,,,142410084,Refseq end,,,
Otud7a,648,+,63444751,63759028,0,63766232,7204,,,63766232,"Refseq end, Pool lab verified",,,
Cdh19,640,-,110888326,110977584,110888002,0,324,,110888002,,Refseq end,,,
Chrm5,639,-,112479171,112480769,112478733,0,438,,112478733,,Refseq end,,,
Wdr91,639,-,34880426,34910876,34877594,0,2832,,34877594,,Refseq end,,,
Crk,638,+,75679259,75706908,0,75708428,1520,,,75708428,Refseq end,,,
Gm26559,632,+,99516629,99521760,0,99526040,4280,,,99526040,Refseq end,,,
Otud3,629,-,138895379,138913945,138891063,0,4316,,138891063,,Refseq end,,,
Cand1,628,-,119199255,119240055,119198812,0,443,,119198812,,Refseq end,,,
Nxph1,627,+,8948431,9249032,0,9259863,10831,,,9259863,Refseq end,,,
Rps6ka6,627,-,111388192,111537959,111387837,0,355,,111387837,,Refseq end,,,
Ankrd45,625,+,161142691,161170498,0,161170510,12,,,161170510,Refseq end,,,
Zfp830,624,+,82764345,82765935,0,82767622,1687,,,82767622,Refseq end,,,
Atp6v1h,622,+,5070018,5162529,0,5163213,684,,,5163213,Refseq end,,,
Htr4,621,+,62324204,62496577,0,62498026,1449,,,62498026,Refseq end,,,
Smim10l1,621,+,133104909,133110899,0,133112089,1190,,,133112089,Refseq end,,,
Aarsd1,617,-,101406839,101417615,101406665,0,174,,101406665,,Refseq end,,,
Rab24,616,-,55319743,55321946,55319223,0,520,,55319223,,Refseq end,,,
Rad21l,615,-,151645404,151668533,151644366,0,1038,,151644366,,Refseq end,,,
Tmf1,615,-,97152997,97179122,97151950,0,1047,,97151950,,Refseq end,,,
Samd3,607,+,26229707,26272172,0,26272916,744,,,26272916,Refseq end,,,
Srek1,604,-,103739348,103774608,103738565,0,783,,103738565,,Refseq end,,,
Zfp583,603,-,6315660,6331285,6311404,0,4256,,6311404,,Refseq end,,,
Myo1c,588,+,75650504,75673910,0,75674643,733,,,75674643,Refseq end,,,
Msantd1,584,+,34908012,34923839,0,34926991,3152,,,34926991,Refseq end,,,
Aptx,581,-,40682382,40703194,40682078,0,304,,40682078,,Refseq end,,,
Ndufaf5,579,+,140170649,140203689,0,140205252,1563,,,140205252,Refseq end,,,
Crip3,576,+,46428926,46431776,0,46431780,4,,,46431780,Refseq end,,,
Shoc2,575,+,53944306,54033133,0,54033280,147,,,54033280,Refseq end,,,
Hspb11,574,+,107253593,107279938,0,107284497,4559,,,107284497,Refseq end,,,
Ercc4,572,+,13109684,13150617,0,13152009,1392,,,13152009,Refseq end,,,
Map7d2,570,+,159414572,159498757,0,159498958,201,,,159498958,Refseq end,,,
Upp2,567,+,58567298,58792971,0,58795846,2875,,,58795846,Refseq end,,,
Fdx1,563,-,51943306,51963556,51943023,0,283,,51943023,,Refseq end,,,
Fam92a,561,-,12153409,12172015,12153142,0,267,,12153142,,Refseq end,,,
Zfp408,560,-,91643669,91649791,91642756,0,913,,91642756,,Refseq end,,,
Ddx19a,556,-,110974996,110997800,110974551,0,445,,110974551,,Refseq end,,,
Ccdc15,548,-,37275835,37348432,37271292,0,4543,,37271292,,Refseq end,,,
Cpt1c,548,-,44959372,44974851,44958483,0,889,,44958483,,Refseq end,,,
Map3k19,546,-,127814791,127855031,127813481,0,1310,,127813481,,Refseq end,,,
Hnrnpa2b1,545,-,51460932,51469894,51460434,0,498,,51460434,,Refseq end,,,
Gm10037,543,+,67831106,67844035,0,67844879,844,,,67844879,Refseq end,,,
Aco1,538,+,40143081,40198338,0,40199009,671,,,40199009,Refseq end,,,
Fbxo4,535,-,3965445,3979573,3963564,0,1881,,3963564,,Refseq end,,,
Prima1,535,-,103196908,103242150,103194453,0,2455,,103194453,,Refseq end,,,
Zfp59,534,+,27838607,27856438,0,27856774,336,,,27856774,Refseq end,,,
Gpc4,531,-,52053021,52165252,52050885,0,2136,,52050885,,Refseq end,,,
Idua,530,+,108660331,108684557,0,108685446,889,,,108685446,Refseq end,,,
Arl13b,528,-,62793685,62847040,62793308,0,377,,62793308,,Refseq end,,,
E130114P18Rik,528,-,97568133,97778078,97567875,0,258,,97567875,,Refseq end,,,
Fstl4,528,+,52764634,53188538,0,53192450,3912,,,53192450,Refseq end,,,
Mrpl27,518,+,94653767,94660089,0,94661932,1843,,,94661932,Refseq end,,,
Man2b2,515,-,36806921,36830653,36806813,0,108,,36806813,,Refseq end,,,
Ndufa11,514,+,56717767,56722141,0,56724248,2107,,,56724248,Refseq end,,,
4930447M23Rik,511,+,19344317,19351050,0,19352251,1201,,,19352251,Refseq end,,,
Fbxo25,511,+,13907803,13940522,0,13940544,22,,,13940544,Refseq end,,,
Gm14295,511,+,176798612,176811223,0,176813621,2398,,,176813621,Refseq end,,,
Gpr180,511,+,118137158,118163261,0,118164232,971,,,118164232,Refseq end,,,
Zfp2,509,-,50898712,50916165,50897265,0,1447,,50897265,,Refseq end,,,
D2hgdh,508,+,93824909,93852348,0,93853857,1509,,,93853857,Refseq end,,,
Dnajc27,508,+,4082583,4110606,0,4124140,13534,,,4124140,Refseq end,,,
Uggt2,503,-,118985039,119099430,118981765,0,3274,,118981765,,Refseq end,,,
Armcx4,501,+,134686519,134696757,0,134697775,1018,,,134697775,Refseq end,,,
Zfp868,498,-,69610857,69625548,69610654,0,203,,69610654,,Refseq end,,,
Gm19744,494,+,48843665,48869901,0,48870497,596,,,48870497,Refseq end,,,
Man2b1,494,+,85083270,85098282,0,85098739,457,,,85098739,Refseq end,,,
Ube2v2,493,-,15552077,15595773,15550986,0,1091,,15550986,,Refseq end,,,
Drd3,491,+,43754026,43822932,0,43823846,914,,,43823846,Refseq end,,,
Stau1,491,-,166947549,166996299,166947549,0,0,,166946500,,Pool lab modified,,,
Art2b,490,-,101576970,101585600,101575729,0,1241,,101573500,,Refseq end + Pool lab modified,,,
Gpc6,485,+,116925315,117976544,0,117979529,2985,,,117979529,Refseq end,,,
Scg2,484,-,79434669,79440120,79434669,0,0,,79433838,,Pool lab modified,,,
Zfp157,479,+,138441468,138460694,0,138460900,206,,,138460900,Refseq end,,,
Aff3,471,-,38177326,38664955,38175393,0,1933,,38175393,,Refseq end,,,
Tmem102,470,-,69803603,69805624,69803595,0,8,,,69806840,Pool lab modified,,,
Slx1b,469,-,126689468,126695784,126688927,0,541,,126688927,,Refseq end,,,
Eif2s3y,467,+,1010543,1028847,0,1046811,17964,,,1046811,Refseq end,,,
Top3a,462,-,60740058,60777365,60739473,0,585,,60739473,,Refseq end,,,
Synj2bp,454,-,81497941,81532911,81492194,0,5747,,81492194,,Refseq end,,,
Zfp873,451,+,82048123,82064745,0,82077727,12982,,,82077727,Refseq end,,,
Runx1t1,450,+,13743436,13893649,0,13895056,1407,,,13895056,Refseq end,,,
Acr,446,+,89568326,89574585,0,89578853,4268,,,89578853,Refseq end,,,
Rab42,445,-,132302197,132303385,132300438,0,1759,,132300438,,Refseq end,,,
Tubd1,445,+,86544991,86567360,0,86567422,62,,,86567422,Refseq end,,,
4930439D14Rik,442,+,156939838,156940196,0,156940195,-1,,,156941510,Pool lab modified,,,
Susd1,441,-,59314683,59438633,59314202,0,481,,59314202,,Refseq end,,,
Gm34552,439,-,74314201,74317162,74314129,0,72,,74314129,,Refseq end,,,
Gm35025,438,-,108823938,108825098,108823123,0,815,,108823123,,Refseq end,,,
Msl3,437,-,168654117,168673898,168651267,0,2850,,168651267,,Refseq end,,,
Mcph1,435,+,18595131,18803189,0,18805912,2723,,,18805912,Refseq end,,,
Cfap44,434,+,44394796,44482428,0,44482694,266,,,44482694,Refseq end,,,
Gm15723,434,+,114801726,114816831,0,114817587,756,,,114817587,Refseq end,,,
AA388235,432,+,33981494,33982777,0,33985358,2581,,,33985358,Refseq end,,,
Fbrs,432,+,127479199,127491711,0,127491806,95,,,127491806,Refseq end,,,
Pofut1,430,+,153241533,153270247,0,153271029,782,,,153271029,Refseq end,,,
Syn2,429,+,115134902,115282006,0,115282626,620,,,115282626,Refseq end,,,
Cdc27,428,-,104502745,104550620,104502524,0,221,,104502524,,Refseq end,,,
Chat,428,-,32408203,32465989,32408203,0,0,,32407420,,Pool lab modified,,,
Ccdc170,427,+,4482502,4562231,0,4562374,143,,,4562374,Refseq end,,,
Khdrbs1,424,-,129703164,129742303,129702380,0,784,,129702380,,Refseq end,,,
Gm39271,421,-,122774035,122775423,122770395,0,3640,,122770395,,Refseq end,,,
Zfp329,419,-,12804977,12818858,12803778,0,1199,,12803778,,Refseq end,,,
Mtpn,418,-,35508906,35539888,35508824,0,82,,35508824,,Refseq end,,,
Rsbn1l,418,-,20893028,20956398,20892290,0,738,,20892290,,Refseq end,,,
Txndc9,417,-,37985189,37997893,37983867,0,1322,,37983867,,Refseq end,,,
Rpl27,415,+,101442298,101445529,0,101445596,67,,,101445596,Refseq end,,,
Car8,412,-,8143362,8239041,8141493,0,1869,,8141493,,Refseq end,,,
Slc25a11,411,-,70644196,70647479,70644019,0,177,,70644019,,Refseq end,,,
Gm15767,410,-,147242527,147243801,147242215,0,312,,147242215,,Refseq end,,,
Neu1,410,+,34931253,34935953,0,34937297,1344,,,34937297,Refseq end,,,
Npffr1,406,+,61595492,61628565,0,61629464,899,,,61629464,Refseq end,,,
Erich1,401,-,14027561,14090301,14025882,0,1679,,14025882,,Refseq end,,,
Gm32391,401,+,164462442,164463989,0,164464485,496,,,164464485,Refseq end,,,
Fam222b,397,+,78094660,78156700,0,78157339,639,,,78157339,Refseq end,,,
Rchy1,396,-,91948904,91963068,91948842,0,62,,91948842,,Refseq end,,,
Pot1b,395,-,55651951,55712628,55651190,0,761,,55651190,,Refseq end,,,
Vwa5b1,394,-,138565360,138635884,138564229,0,1131,,138564229,,Refseq end,,,
Wdr92,394,+,17182107,17233796,0,17235200,1404,,,17235200,Refseq end,,,
Gm11184,393,+,83383064,83392205,0,83392316,111,,,83392316,Refseq end,,,
Klf8,393,+,153237466,153396132,0,153397886,1754,,,153397886,Refseq end,,,
Nlrc3,392,-,3945007,3976632,3943807,0,1200,,3943807,,Refseq end,,,
Clmp,391,+,40685962,40785319,0,40785553,234,,,40785553,Refseq end,,,
Gm14114,390,-,146828327,146839732,146827212,0,1115,,146827212,,Refseq end,,,
CN725425,387,+,91199494,91260894,0,91261134,240,,,91261134,Refseq end,,,
Zfp955a,387,-,33239718,33255145,33239507,0,211,,33239507,,Refseq end,,,
Tbcc,385,+,46890684,46891847,0,46892463,616,,,46892463,Refseq end,,,
Fam133b,384,+,3543833,3570238,0,3570548,310,,,3570548,Refseq end,,,
Kcnh6,384,+,106008124,106034549,0,106035595,1046,,,106035595,Refseq end,,,
Gm13375,382,+,20969054,20969997,0,20970348,351,,,20970348,Refseq end,,,
Abca9,377,-,110100749,110168196,110100093,0,656,,110100093,,Refseq end,,,
Il1rapl2,376,+,137570608,138846946,0,138849077,2131,,,138849077,Refseq end,,,
Nrg2,376,-,36017652,36197380,36016760,0,892,,36016760,,Refseq end,,,
Snx12,376,-,101097786,101222563,101089367,0,8419,,101089367,,Refseq end,,,
Gm28729,373,-,96486001,96525264,96485748,0,253,,96485748,,Refseq end,,,
Lhx5,372,+,120431699,120441223,0,120441457,234,,,120441457,Refseq end,,,
Ndufaf6,372,-,11051045,11076205,11051042,0,3,,11051042,,Refseq end,,,
Gpr85,371,-,13834458,13839942,13834454,0,4,,13834454,,Refseq end,,,
Mctp1,371,+,76384535,77031810,0,77033277,1467,,,77033277,Refseq end,,,
Ccnl1,370,-,65946151,65958249,65945908,0,243,,65945908,,Refseq end,,,
Chic1,370,+,103356476,103396092,0,103409092,13000,,,103409092,Refseq end,,,
Pou3f4,370,+,110814280,110817207,0,110819108,1901,,,110819108,Refseq end,,,
Gm32710,367,+,10904345,10907818,0,10908432,614,,,10908432,Refseq end,,,
Cntf,366,-,12763660,12765632,12763528,0,132,,12763528,,Refseq end,,,
Gm14322,366,+,177759288,177770472,0,177773275,2803,,,177773275,Refseq end,,,
Hif3a,365,-,17031507,17062427,17030993,0,514,,17030993,,Refseq end,,,
C230072F16Rik,364,+,80896793,80933045,0,80933447,402,,,80933447,Refseq end,,,
Wipf2,364,+,98863638,98905040,0,98905578,538,,,98905578,Refseq end,,,
Msantd2,362,+,37489319,37524625,0,37526113,1488,,,37526113,Refseq end,,,
Col19a1,361,-,24261890,24587472,24257683,0,4207,,24257683,,Refseq end,,,
Slc22a15,361,-,101855776,101924453,101854443,0,1333,,101854443,,Refseq end,,,
Crebzf,359,+,90442729,90447994,0,90448382,388,,,90448382,Refseq end,,,
Sec14l3,358,+,4064841,4077736,0,4078990,1254,,,4078990,Refseq end,,,
Atp10a,357,+,58656166,58829420,0,58830244,824,,,58830244,Refseq end,,,
Gm31458,357,-,28053099,28118452,28045928,0,7171,,28045928,,Refseq end,,,
A830092H15Rik,355,+,26331150,26333377,0,26336884,3507,,,26336884,Refseq end,,,
Igdcc3,355,+,65141189,65185872,0,65187031,1159,,,65187031,Refseq end,,,
Kcnh8,354,+,52602709,52979194,0,52979194,0,,,52980305,Pool lab modified,,,
Txndc17,348,+,72207547,72210015,0,72210487,472,,,72210487,Refseq end,,,
Gm11734,347,+,117523603,117532205,0,117534737,2532,,,117534737,Refseq end,,,
Gm11454,346,+,163122606,163143959,0,163146353,2394,,,163146353,Refseq end,,,
Npat,345,+,53537047,53574342,0,53575627,1285,,,53575627,Refseq end,,,
Vps26a,345,-,62455235,62486805,62454843,0,392,,62454843,,Refseq end,,,
Atp13a4,343,-,29395853,29544864,29389103,0,6750,,29389103,,Refseq end,,,
Gm32633,341,+,64001885,64020959,0,64024758,3799,,,64024758,Refseq end,,,
